Follower Athlete ID,Follow Status,Created At
32035495,Accepted,"May 28, 2019, 5:56:53 PM"
32998803,Accepted,"May 28, 2019, 6:00:01 PM"
31866223,Accepted,"May 28, 2019, 6:40:39 PM"
42227857,Accepted,"May 28, 2019, 6:51:47 PM"
40600587,Accepted,"Jul 27, 2019, 4:04:52 PM"
17524081,Accepted,"Jul 30, 2019, 6:02:14 PM"
10850484,Accepted,"Mar 16, 2020, 6:35:39 PM"
52367379,Accepted,"Mar 21, 2020, 1:43:52 AM"
5001875,Accepted,"Apr 7, 2020, 4:03:26 AM"
2418685,Accepted,"Apr 16, 2020, 10:41:46 AM"
57222209,Accepted,"May 12, 2020, 6:03:17 PM"
52365763,Accepted,"May 29, 2020, 9:12:20 PM"
44426659,Accepted,"Jun 10, 2020, 11:20:22 PM"
5359460,Accepted,"Jun 15, 2020, 7:52:23 PM"
60167649,Accepted,"Jun 18, 2020, 11:00:45 PM"
57255554,Accepted,"Jun 20, 2020, 11:21:37 AM"
9408151,Accepted,"Jun 22, 2020, 9:46:56 PM"
64622427,Accepted,"Aug 2, 2020, 9:42:58 PM"
44274937,Accepted,"Sep 25, 2020, 12:57:16 PM"
34775753,Accepted,"Oct 18, 2020, 7:44:36 PM"
47585420,Accepted,"Oct 22, 2020, 4:05:27 PM"
50186774,Accepted,"Oct 25, 2020, 4:08:17 PM"
23057489,Accepted,"Nov 2, 2020, 10:08:26 PM"
46565945,Accepted,"Nov 7, 2020, 9:15:39 PM"
33694541,Accepted,"Nov 8, 2020, 2:45:26 PM"
53238507,Accepted,"Dec 1, 2020, 6:26:10 PM"
1671755,Accepted,"Dec 20, 2020, 1:29:51 PM"
5830911,Accepted,"Feb 1, 2021, 6:40:50 PM"
62943002,Accepted,"Feb 4, 2021, 5:57:37 PM"
54309386,Accepted,"Feb 6, 2021, 5:29:31 PM"
24854636,Accepted,"Feb 11, 2021, 5:23:35 PM"
10401322,Accepted,"Feb 13, 2021, 12:02:04 AM"
90907147,Accepted,"Aug 20, 2021, 4:19:20 PM"
68730617,Accepted,"Aug 25, 2021, 1:29:56 PM"
56598476,Accepted,"Sep 8, 2021, 3:52:58 PM"
47585850,Accepted,"Sep 16, 2021, 12:34:22 AM"
55566265,Accepted,"Sep 16, 2021, 1:00:30 AM"
62304999,Accepted,"Sep 22, 2021, 12:20:53 PM"
99700916,Accepted,"Mar 15, 2022, 7:32:37 PM"
