Following Athlete ID,Follow Status,Created At
32998803,Accepted,"May 28, 2019, 5:55:25 PM"
42227857,Accepted,"May 28, 2019, 5:55:34 PM"
32035495,Accepted,"May 28, 2019, 5:55:48 PM"
31866223,Accepted,"May 28, 2019, 5:56:57 PM"
17524081,Accepted,"Jul 26, 2019, 7:31:40 PM"
40600587,Accepted,"Jul 27, 2019, 4:49:41 PM"
2418685,Accepted,"Nov 3, 2019, 2:36:58 PM"
52367379,Accepted,"Mar 21, 2020, 1:28:27 AM"
10850484,Accepted,"Mar 22, 2020, 11:33:11 PM"
57222209,Accepted,"May 14, 2020, 4:40:21 PM"
52365763,Accepted,"May 25, 2020, 4:22:05 PM"
44426659,Accepted,"Jun 10, 2020, 8:14:27 PM"
9408151,Accepted,"Jun 15, 2020, 6:44:07 PM"
5359460,Accepted,"Jun 15, 2020, 6:44:25 PM"
60167649,Accepted,"Jun 18, 2020, 2:43:48 PM"
57255554,Accepted,"Jun 18, 2020, 2:43:50 PM"
22901436,Accepted,"Jul 7, 2020, 4:32:56 AM"
9459201,Accepted,"Jul 11, 2020, 2:05:26 AM"
44274937,Accepted,"Jul 15, 2020, 2:24:46 PM"
64622427,Accepted,"Aug 2, 2020, 11:28:32 PM"
34775753,Accepted,"Oct 18, 2020, 5:34:16 PM"
47585420,Accepted,"Oct 22, 2020, 11:26:08 PM"
50186774,Accepted,"Oct 25, 2020, 3:49:03 PM"
23057489,Accepted,"Oct 30, 2020, 8:59:15 AM"
46565945,Accepted,"Nov 7, 2020, 9:11:25 PM"
33694541,Accepted,"Nov 8, 2020, 5:35:02 PM"
53238507,Accepted,"Dec 1, 2020, 9:31:20 PM"
4822604,Accepted,"Dec 8, 2020, 8:07:31 PM"
1671755,Accepted,"Dec 20, 2020, 6:28:22 PM"
5830911,Accepted,"Feb 1, 2021, 6:54:56 PM"
62943002,Accepted,"Feb 3, 2021, 3:35:51 AM"
54309386,Accepted,"Feb 6, 2021, 7:42:11 PM"
24854636,Accepted,"Feb 11, 2021, 5:04:37 PM"
10401322,Accepted,"Feb 13, 2021, 12:11:57 AM"
90907147,Accepted,"Aug 20, 2021, 4:19:11 PM"
68730617,Accepted,"Aug 25, 2021, 1:29:43 PM"
51452257,Accepted,"Aug 26, 2021, 2:00:23 PM"
56598476,Accepted,"Sep 8, 2021, 3:52:52 PM"
47585850,Accepted,"Sep 16, 2021, 12:32:03 AM"
55566265,Accepted,"Sep 16, 2021, 1:00:11 AM"
62304999,Accepted,"Sep 22, 2021, 3:02:57 AM"
